ADDRESS,LOCALITY,STATE,ZIP CODE,COUNTY,STREET,TYPE,PRICE,BEDS,BATHS,BUILD DATE,LOT SIZE,SQFT,FEES,VIEW COUNT,DAYS POSTED,DESCRIPTION
        4294 Dollar Dr      ,Curran,MI, 48728 ,Alcona ,Dollar Dr,Single-Family Home,$299999,5,4,2015,5.00,2500,,263,246,This is a beautiful all sports lakefront home.Owner raised the home & added a third level.Home is gutted except for lower level which is livable with 2 beds 1 bath.& temp.kitchenheating in floor.All patio doors & windows are pella w/blinds.The upper two levels can be any way you want. all the Knotty pine came from trees around the lake. large composite deck. A lot of the materials to finish home are on property. Property is in Curran Michigan              
        6400 Hubbard Lake Trl      ,Curran,MI, 48728 ,Alcona ,Hubbard Lake Trl,Single-Family Home,$299000,2,2,,166.50,1320,,967,157,Secluded year around home or hunting lodge with guest quarters. This 166 acre parcel has over 1/2 mile of the Wolf Creek running through with 2 drive across bridges for driving access to the entire property. Beautiful hunting property with ground blinds. The house is a large 2 bed with 2 bths fireplace large modern kitchen big picture window FA furnace with central air newer roof and siding. 24 x 40 two story barn style garage with workshop and guest quarters above with bath.Back-up generator system for power outages. Comes all furnished jeep and tractor may be available for purchase              
        6498 Hubbard Lake Trl      ,Curran,MI, 48728 ,Alcona ,Hubbard Lake Trl,Lot/Land,$375000,,,,160.00,,,56,44,Wow this is an awesome Northeast Michigan recreation property. Complete with 4 ponds groomed and stocked with fish 3080 sq' recently updated lodge 2 storage barns for all of the woods toys and deer plot equipment mowed trails and active food plots and even a trout stream running through it! See the photo tour to appreciate the quality of this "Up-North" package.              
        2475 Adams Rd      ,Glennie,MI, 48737 ,Alcona ,Adams Rd,Single-Family Home,$749000,8,5,1938,10585,6530,,75,56,There are so many opportunities with 3 homes on this property plus a bunkhouse workshop storage building stables barn and carriage house. Main Home is 2700' with 4 bedrooms 2 baths ample storage beautiful log living room with fieldstone fireplace there is an equally beautiful kitchen with ample counter space and expansive great room with another fieldstone fireplace and billiards room. Also included is a 20 x 40 heated in-ground pool and patio with 2 beautiful koi ponds. Mother-in-Law home is 1500' and has recent updates. There is a large master bedroom guest room 2 baths and beautiful large sun porch. It also has a large deck with a sunken fire pit to relax by. Guest House is 1465' built in 2008 and recently updated. It has 1.5 bathrooms a beautiful living room and kitchen plus a 3 season porch! It is handicap accessible. Being adjacent to the main house provides your guests easy access All homes are protected by a Generac backup generator; and there are 4 wells on the property. Other buildings include: a heated workshop (960') with an attached storage barn (3200') a Bunk House (266') 2 Stables with a tack room (2052'') Pole Barn (484) and grooming area (317') large cooler/butcher building (302') also a carriage house feed room training rings and pastures. There is a large and well maintained trail system allowing for easy travel around the heavily wooded property. If 243 acres is not enough there are 20000 acres of nearby Huron National Forest available for recreation. Wildlife viewing or hunting on this property is excellent and the several food plots encourage their visits.              
        2486 Adams Rd      ,Glennie,MI, 48737 ,Alcona ,Adams Rd,Single-Family Home,$749900,4,2,1938,243.00,2700,,118,119,So many opportunities: family home/retreat camp horse ranch an events facility with sleeping quarters. There is a classic log home another home (2486 Adams) guest house bunkhouse stable with tack room and hay storage carriage house complete wood shop and storage buildings and 243 acres with food plots maintained for wildlife. There are 4 wells back up generators a 36 x 18 in-ground pool Koi ponds with waterfalls beautiful large decks and patios all in a peaceful country setting.              
        3523 Bissonette Rd      ,Glennie,MI, 48737 ,Alcona ,Bissonette Rd,Single-Family Home,$178000,4,5,1940,9.62,2698,,122,340,Large Brick home with quiet country setting and awe-some views of large pond and open space . The sun room and family room have have lots of large windows offering great views of the surrounding country side . Basement area has separate kitchen and space for two bedrooms  could be used for rental income or family overflow . The 40 x 60 pole building has 14 ft ceiling and 3 overhead doors and comes with an insulated finished office space . The spring fed pond runs from 4 to 17 ft is aerated and stocked  great summer spot for kids to swim and fish . Property has many great features to numerous to mention here . This is one you really need to see to appreciate .              
        3476 Chippewa Dr      ,Glennie,MI, 48737 ,Alcona ,Chippewa Dr,Single-Family Home,$129900,2,1,1975,,1044,,20,18,Great northern getaway retirement or year around home on Hunters Lake. ( no wake 42 acre lake) great fishing boating or swimming lake. Sellers pride shows through-out this home well maintained and move in condition. a must see to be appreciated.              
        3644 Chippewa Dr      ,Glennie,MI, 48737 ,Alcona ,Chippewa Dr,Single-Family Home,$170000,3,2,2003,0.69,1878,,14,161,MOTIVATED SELLER: Custom built home built by local builder and owner of the Eagle Ridge Golf course this beauty looks brand new.Features full walk out basement heated attached garage with 10' insulated garage doors & cold water tap 3 bedrooms 2 baths open kitchen/dining & living room with french doors to the enclosed deck area which has no heat but an awesome view of the lake. Basement is pre-plumb for future bathroom. Cathedral ceilings hard wood & ceramic floors just add to the beauty. Arched hallway recessed lighting ceiling fans walk in closets plus the list goes on. Central air through out. Awesome view of Hunters Lake. (42 acre no wake lake) Great fishing and friends love to go on a pontoon. A must see to be appreciated. Assessed value 197400. Priced to sell fast. Seller will provide $ 300.00 credit toward the refrigerator mother board. *Note: Counter top 1000 watt microwave included.              
        5710 Clouse Rd      ,Glennie,MI, 48737 ,Alcona ,Clouse Rd,Single-Family Home,$85000,2,1,,12.00,990,,351,319,Country setting with 12 acres barn garage with addition and home with 2 bedrooms one bath partial basement. Small hometown of Glennie not far at all with in five minutes and the Ausable river several inland lakes recreational state land all with in 10 minutes. Great home to start the hobby farm or just looking for room to roam.              
        5114 Elm St      ,Glennie,MI, 48737 ,Alcona ,Elm St,Single-Family Home,$20000,1,,,0.92,722,,27,205,All the Kings horses and all the kings men Didn't bother to put this cute little A-frame back together again. The first floor measures 20X28 and the second floor loft is 15x13.5 with room for expansion. Many of the building materiels are still present in the home including Kitchen cabinets. Shown by Appointment!              
        3305 F 30      ,Glennie,MI, 48737 ,Alcona ,F 30,Single-Family Home,$179900,3,2,1975,40.00,2508,,381,360,40 Acres close to Huron National Forest Property has a lot to offer like tons of wildlife and small watering hole. Trails that run through the wooded property. Fun for the outdoor enthusiast. 3 Bedroom house with a large master on the main floor with lots of closet space to hold you belongings. Enough space in the master to have sitting area too. Nice size laundry room that leads into the Master bath. Main floor also consist of the kitchen Dining room and Family room. Den or office room upstairs that has a wood fireplace to cozy up to on the cold nights. 2 bedrooms also upstairs and a huge beautiful living room with sliding doors that leads out to a deck that has a ramp. Living room gives you the up north feel along with the 3/4 Nice updated bath on this upper level. Most rooms has it's own thermostat. House has plenty of space to entertain. 3 Car detach Garage (50 x 24) is heated and has storage space as well. Furniture is negotiable. MUST SEE!!!              
        4570 Ford Rd      ,Glennie,MI, 48737 ,Alcona ,Ford Rd,Mobile/Manufactured,$35000,2,1,,0.50,720,,40,77,Country Setting. This 2 bedroom 1 bath older mobile is the perfect place for a low maintenance cottage or year round residence. Located on a gravel county maintained road close to Huron National Forest. 24x 32 pole barn with cement floor provides extra storage or a great work space. There's also a couple other outbuildings. One(8.5x'16') could be fixed up for a guest cottage. Large newer 12'x30' covered deck is a perfect spot to enjoy the outdoors rain or shine. Mobile has new windows new furnace new well pump and recently insulated floor to keep it cozy. Yard has many full frown trees and some perennials. Just a few miles outside of Glennie where you'll find all the amenities to make your stay effortless. Close to many lakes trails and The Mighty AuSable River. Com              
        3359 Iroquois Rd      ,Glennie,MI, 48737 ,Alcona ,Iroquois Rd,Single-Family Home,$110000,3,3,,,1200,,536,424,Spacious highly maintained neat and clean with 150' on the lake.! 3 bedrooms 3 bath walkout basement and room for your family and friends. Great fishing boating and/or swimming on Hunters Lake. (No wake 42 acre lake) Awesome view of the sunrises. Peaceful and quiet. Imagine sitting around the campfire with your family and friends! wow!              
        3381 Iroquois Rd      ,Glennie,MI, 48737 ,Alcona ,Iroquois Rd,Single-Family Home,$62900,2,1,,,624,,134,331,175 feet of Hunter's Lake Frontage(2 Lots). Steps to the waters edge or drive down. Listed below township assessors value. Great fishing mostly furnished cabin make this a great lakefront value. Up-North and on the lake is where the lasting memories are made.Seller will consider all offers!              
        5157 Lake St      ,Glennie,MI, 48737 ,Alcona ,Lake St,Single-Family Home,$52900,3,2,1996,0.46,1400,,281,739,Back on the market and reduced. Vaughn Lake Accessand accommodates your family with year round living.This perfect fishing lake all sports lake with trails in the area provide a recreational fullfillment. Also five minutes from Ausable River Golf Course HardwareTavern and Shopping. Home offers three large bedrooms with open concept kitchen/dining setting on two lots with the access just across the street hopskip and jump away. Master bedroom with walk in closet full bath and garden tub. Second full bath with nice decor. Kitchen comes with appliances more storage space than you need with all white cabinetry. Newer flooring in kitchen roof well pump bladder tankand hot water tank ownership of propane tank.Move in ready home.              
        5214 Lake St      ,Glennie,MI, 48737 ,Alcona ,Lake St,Lot/Land,$46000,,,,,,,80,31,50 FT. LAKEFRONT LOT ON THE ALL SPORTS VAUGHN LAKE with 150 Ft. across the street.              
        2915 Lakeshore Dr      ,Glennie,MI, 48737 ,Alcona ,Lakeshore Dr,Single-Family Home,$159900,3,2,1981,0.51,1472,,54,101,NORTH LAKE. Very well maintained home on all sports North Lake with good sandy bottom. This home has just under 1500 sq ft of living space with three bedrooms and 1.5 bath. The full unfinished walkout basement could add great additional living space if finished. This home is located on just over one half acres 102 x 220. The home has many nice features such as concrete drive nice waterside deck 100+ feet of water frontage new water softener furnace and water heater. Home is only 2 miles east of Glennie.              
        3025 Lakeshore Dr      ,Glennie,MI, 48737 ,Alcona ,Lakeshore Dr,Single-Family Home,$147500,2,2,1967,0.65,810,,35,182,NORTH LAKE. Immaculate home on all sports North Lake. This is the type of home that everything has its place and there is a place for everything. Large 3 season room and fully finished little cottage are not figured into the square footage. 2 full lots with plenty of privacy. Garage and large two story storage barn offer a good amount of storage. Property has been utilized as a comfortable year around home for many years. Wood burning fireplace is great for back up heat and stay at home weekends. Having the extra half bath is a great asset to have when you have a house full around during the summer.              
        5550 Michaud      ,Glennie,MI, 48737 ,Alcona ,Michaud,Single-Family Home,$289900,4,3,2003,40.02,2227,,63,95,Welcome to paradise! This Beautiful and secluded home built as a Primary Residence or a Premier Hunting camp on 40 acres with a serene view of one of the properties two ponds. The home offers 4 bedrooms 3 bathrooms 14x16 enclosed Sunroom Garage and Pole barn. The property is mostly wooded with mature apple trees Blackberry fields Wild raspberry and Grape throughout the trails. If you are interested in making this dream home yours  Please call to schedule a showing The home is not visible from the road so please no drive-By's              
